phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Musc/Skel,phecode_721-12,Radial styloid tenosynovitis [de Quervain],"0.562 (0.543, 0.58)","0.593 (0.57, 0.61)","0.03 (0.007, 0.047)"
Musc/Skel,phecode_706-1,Sacroiliitis NEC,"0.541 (0.506, 0.572)","0.572 (0.533, 0.606)","0.03 (0.004, 0.067)"
Metab,phecode_244,Disorders of lipoprotein metabolism and other lipidemias,"0.555 (0.533, 0.574)","0.584 (0.563, 0.606)","0.03 (0.013, 0.045)"
Rx,phecode_977-4,Long term (current) use of steroids,"0.527 (0.507, 0.541)","0.555 (0.537, 0.573)","0.03 (0.004, 0.052)"
Derm,phecode_679-2,Pallor and flushing,"0.517 (0.497, 0.542)","0.547 (0.521, 0.569)","0.03 (0.004, 0.046)"
Eye,phecode_388,Blindness and low vision,"0.661 (0.645, 0.675)","0.69 (0.68, 0.705)","0.031 (0.018, 0.042)"
Derm,phecode_686-2,Non-pressure chronic ulcer,"0.685 (0.669, 0.703)","0.717 (0.702, 0.73)","0.031 (0.017, 0.04)"
Resp,phecode_463-2,Allergic rhinitis,"0.501 (0.493, 0.509)","0.532 (0.522, 0.539)","0.031 (0.019, 0.041)"
Eye,phecode_361-3,Ptosis of eyelid,"0.627 (0.604, 0.649)","0.658 (0.637, 0.681)","0.031 (0.01, 0.047)"
Endo,phecode_204-4,Prediabetes*,"0.318 (0.28, 0.345)","0.343 (0.305, 0.377)","0.031 (0.003, 0.048)"
Eye,phecode_369-4,Corneal degenerations,"0.652 (0.624, 0.678)","0.685 (0.658, 0.709)","0.031 (0.014, 0.05)"
Neuro,phecode_333-11,Obstructive sleep apnea,"0.602 (0.586, 0.622)","0.632 (0.62, 0.649)","0.031 (0.019, 0.043)"
Eye,phecode_375-1,Glaucoma,"0.653 (0.644, 0.664)","0.685 (0.675, 0.694)","0.031 (0.024, 0.041)"
Neuro,phecode_336-2,"Lesion of median, ulnar, radial nerve","0.519 (0.502, 0.545)","0.551 (0.53, 0.573)","0.032 (0.011, 0.047)"
GI,phecode_504,Periodontal diseases,"0.491 (0.47, 0.514)","0.522 (0.503, 0.55)","0.032 (0.006, 0.059)"
Signs/Symptoms,phecode_832-5,Acetonuria,"0.414 (0.401, 0.43)","0.446 (0.433, 0.46)","0.032 (0.017, 0.042)"
Neuro,phecode_351,Disturbances of skin sensation,"0.531 (0.525, 0.538)","0.563 (0.557, 0.569)","0.032 (0.025, 0.038)"
Metab,phecode_247-4,Disorders of magnesium metabolism,"0.661 (0.636, 0.684)","0.694 (0.668, 0.715)","0.032 (0.013, 0.047)"
Neuro,phecode_333,Sleep disorders,"0.516 (0.51, 0.522)","0.549 (0.542, 0.555)","0.032 (0.025, 0.04)"
Hearing,phecode_390-1,Otitis externa,"0.485 (0.479, 0.492)","0.517 (0.512, 0.524)","0.032 (0.024, 0.041)"
GI,phecode_525-1,Celiac disease,"0.506 (0.474, 0.535)","0.535 (0.503, 0.562)","0.032 (-0.003, 0.066)"
Metab,phecode_251-1,Gilbert syndrome*,"0.584 (0.562, 0.609)","0.619 (0.592, 0.642)","0.033 (0.016, 0.055)"
Blood,phecode_168-19,Spontaneous ecchymoses,"0.535 (0.501, 0.558)","0.564 (0.534, 0.593)","0.033 (0.007, 0.056)"
Eye,phecode_386-4,Visual field defects,"0.597 (0.571, 0.619)","0.63 (0.6, 0.661)","0.033 (0.011, 0.057)"
Rx,phecode_977-71,Long term (current) use of insulin,"0.591 (0.574, 0.61)","0.625 (0.607, 0.648)","0.033 (0.013, 0.059)"
Neuro,phecode_333-2,Insomnia,"0.522 (0.512, 0.53)","0.556 (0.545, 0.563)","0.033 (0.026, 0.04)"
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,"0.444 (0.411, 0.477)","0.479 (0.443, 0.517)","0.034 (0.003, 0.066)"
Mental,phecode_280-11,Alcohol abuse,"0.597 (0.585, 0.608)","0.63 (0.619, 0.642)","0.034 (0.025, 0.041)"
Neuro,phecode_353-1,Hallucinations,"0.613 (0.582, 0.643)","0.645 (0.612, 0.677)","0.034 (0.003, 0.067)"
Mental,phecode_283,Other behavioral problems,"0.488 (0.483, 0.493)","0.522 (0.517, 0.527)","0.034 (0.028, 0.04)"
Derm,phecode_684-11,Alopecia Areata,"0.638 (0.623, 0.66)","0.671 (0.654, 0.694)","0.034 (0.017, 0.052)"
Eye,phecode_376-1,Vitreous degeneration,"0.59 (0.583, 0.6)","0.625 (0.616, 0.633)","0.034 (0.025, 0.042)"
ID,phecode_002,Staphylococcus,"0.602 (0.587, 0.623)","0.637 (0.623, 0.652)","0.034 (0.017, 0.05)"
Derm,phecode_683-2,Nail dystrophy*,"0.578 (0.549, 0.611)","0.615 (0.581, 0.645)","0.034 (0.013, 0.06)"
GI,phecode_557-1,Hematemesis,"0.591 (0.574, 0.618)","0.626 (0.606, 0.65)","0.034 (0.014, 0.053)"
GI,phecode_503-5,Periapical abscess,"0.488 (0.474, 0.503)","0.523 (0.506, 0.536)","0.034 (0.018, 0.053)"
Genitourinary,phecode_603-2,Spermatocele,"0.482 (0.46, 0.508)","0.518 (0.495, 0.54)","0.035 (0.015, 0.054)"
GI,phecode_503,Diseases of pulp and periapical tissues,"0.492 (0.481, 0.509)","0.529 (0.514, 0.541)","0.035 (0.017, 0.053)"
Eye,phecode_377-4,Retinal hemorrhage,"0.643 (0.61, 0.666)","0.677 (0.649, 0.709)","0.035 (0.014, 0.061)"
Resp,phecode_474,Chronic obstructive pulmonary disease [COPD],"0.665 (0.656, 0.673)","0.701 (0.693, 0.708)","0.035 (0.028, 0.042)"
GI,phecode_530-2,Anorectal abscess,"0.565 (0.536, 0.604)","0.602 (0.571, 0.631)","0.035 (0.016, 0.058)"
Genitourinary,phecode_627-3,Postmenopausal atrophic vaginitis,"0.512 (0.503, 0.523)","0.547 (0.537, 0.556)","0.035 (0.023, 0.047)"
Musc/Skel,phecode_723-6,Impingement syndrome of shoulder*,"0.48 (0.471, 0.488)","0.514 (0.504, 0.524)","0.035 (0.024, 0.045)"
GI,phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],"0.559 (0.539, 0.588)","0.599 (0.567, 0.631)","0.036 (0.004, 0.067)"
Mental,phecode_308-4,Demoralization and apathy,"0.146 (0.127, 0.159)","0.181 (0.155, 0.199)","0.036 (0.022, 0.048)"
Neuro,phecode_347,Other disorders of the brain and CNS,"0.574 (0.543, 0.601)","0.611 (0.576, 0.634)","0.036 (0.006, 0.064)"
Derm,phecode_680-3,Xerosis cutis*,"0.572 (0.556, 0.585)","0.607 (0.593, 0.623)","0.036 (0.023, 0.047)"
Signs/Symptoms,phecode_826,Other abnormal immunological findings in serum,"0.476 (0.452, 0.502)","0.515 (0.487, 0.536)","0.036 (0.008, 0.06)"
Neuro,phecode_344,Disorders of the circulation of the cerebrospinal fluid,"0.553 (0.511, 0.587)","0.59 (0.552, 0.62)","0.037 (-0.005, 0.071)"
Metab,phecode_256-4,Hyperkalemia [Hyperpotassemia],"0.667 (0.652, 0.685)","0.703 (0.69, 0.722)","0.037 (0.024, 0.053)"
Metab,phecode_248,"Disorders of plasma-protein metabolism, NEC","0.605 (0.571, 0.649)","0.64 (0.592, 0.694)","0.037 (0.002, 0.071)"
Resp,phecode_474-1,Emphysema,"0.691 (0.675, 0.705)","0.728 (0.711, 0.742)","0.037 (0.021, 0.05)"
Resp,phecode_463-21,Seasonal allergic rhinitis,"0.497 (0.488, 0.507)","0.535 (0.525, 0.546)","0.037 (0.025, 0.05)"
Eye,phecode_361-4,Blepharochalasis,"0.585 (0.547, 0.627)","0.621 (0.584, 0.654)","0.037 (0.011, 0.06)"
Derm,phecode_660-4,Carbuncle and furuncle,"0.502 (0.485, 0.513)","0.538 (0.523, 0.555)","0.038 (0.019, 0.053)"
Mental,phecode_292,Somatoform disorders,"0.433 (0.399, 0.477)","0.469 (0.436, 0.501)","0.038 (-0.006, 0.069)"
Endo,phecode_204,Elevated blood glucose level,"0.573 (0.567, 0.578)","0.61 (0.603, 0.616)","0.038 (0.032, 0.044)"
Blood,phecode_175-2,Secondary polycythemia,"0.626 (0.587, 0.664)","0.662 (0.63, 0.7)","0.038 (-0.008, 0.091)"
Mental,phecode_286-1,Bipolar disorder,"0.485 (0.454, 0.531)","0.525 (0.488, 0.578)","0.038 (-0.002, 0.092)"
Neuro,phecode_352,Disturbances of sensation of smell and taste,"0.505 (0.487, 0.524)","0.545 (0.527, 0.562)","0.038 (0.02, 0.059)"
Derm,phecode_685-82,Generalized hyperhidrosis,"0.542 (0.527, 0.558)","0.58 (0.568, 0.595)","0.039 (0.025, 0.055)"
Musc/Skel,phecode_719-3,Separation of muscle (nontraumatic),"0.673 (0.643, 0.696)","0.71 (0.685, 0.731)","0.039 (0.021, 0.054)"
ID,phecode_086,"Pediculosis, acariasis and other infestations","0.461 (0.433, 0.491)","0.502 (0.472, 0.526)","0.039 (0.011, 0.073)"
ID,phecode_097-1,Methicillin resistant Staphylococcus aureus,"0.468 (0.431, 0.508)","0.51 (0.466, 0.545)","0.039 (-0.001, 0.097)"
Derm,phecode_685-8,Hyperhidrosis,"0.54 (0.527, 0.556)","0.58 (0.565, 0.593)","0.039 (0.026, 0.053)"
Musc/Skel,phecode_701-1,Osteomyelitis,"0.571 (0.531, 0.626)","0.613 (0.575, 0.661)","0.04 (0.006, 0.078)"
Neuro,phecode_334-21,Bell's palsy,"0.515 (0.49, 0.547)","0.557 (0.532, 0.586)","0.04 (0.009, 0.077)"
Signs/Symptoms,phecode_812-2,Angioneurotic edema,"0.498 (0.462, 0.528)","0.537 (0.501, 0.574)","0.04 (0.007, 0.071)"
Neuro,phecode_351-2,Hypoesthesia of skin*,"0.701 (0.68, 0.717)","0.741 (0.724, 0.757)","0.04 (0.027, 0.054)"
Eye,phecode_374-55,Puckering of macula,"0.656 (0.639, 0.673)","0.697 (0.678, 0.713)","0.04 (0.026, 0.058)"
Neuro,phecode_333-1,Sleep apnea,"0.584 (0.572, 0.602)","0.625 (0.614, 0.638)","0.041 (0.029, 0.053)"
Endo,phecode_204-2,Impaired glucose tolerance (oral),"0.536 (0.529, 0.545)","0.577 (0.568, 0.584)","0.041 (0.032, 0.049)"
Derm,phecode_660-11,Candidiasis of skin and nails,"0.51 (0.49, 0.53)","0.551 (0.532, 0.568)","0.041 (0.024, 0.064)"
Signs/Symptoms,phecode_805,Fever of unknown origin,"0.524 (0.513, 0.534)","0.566 (0.555, 0.576)","0.041 (0.029, 0.051)"
Resp,phecode_486-2,Other diseases of bronchus,"0.504 (0.476, 0.543)","0.547 (0.523, 0.568)","0.042 (0.008, 0.073)"
Blood,phecode_164,Anemia,"0.587 (0.581, 0.595)","0.63 (0.623, 0.636)","0.043 (0.036, 0.049)"
Derm,phecode_665-3,Other psoriasis,"0.462 (0.422, 0.493)","0.504 (0.465, 0.536)","0.043 (-0.004, 0.083)"
Eye,phecode_375-11,Open angle glaucoma,"0.669 (0.659, 0.682)","0.712 (0.701, 0.725)","0.044 (0.033, 0.055)"
Eye,phecode_360-51,Eczematous dermatitis of eyelid,"0.596 (0.565, 0.623)","0.639 (0.614, 0.668)","0.044 (0.023, 0.064)"
GI,phecode_502,Other diseases of teeth and supporting structures,"0.475 (0.463, 0.494)","0.519 (0.505, 0.532)","0.044 (0.024, 0.06)"
GI,phecode_542-3,Hepatic failure,"0.65 (0.608, 0.681)","0.698 (0.659, 0.725)","0.044 (0.011, 0.088)"
Eye,phecode_387-3,Astigmatism,"0.671 (0.656, 0.686)","0.715 (0.7, 0.729)","0.045 (0.032, 0.056)"
Stat,phecode_979,Transplated organ,"0.565 (0.532, 0.598)","0.609 (0.567, 0.647)","0.045 (0.005, 0.084)"
ID,phecode_097,Drug resistant microorganisms,"0.47 (0.429, 0.514)","0.508 (0.473, 0.561)","0.045 (-0.004, 0.081)"
Resp,phecode_469,Bronchitis,"0.43 (0.42, 0.441)","0.475 (0.465, 0.485)","0.045 (0.036, 0.054)"
Mental,phecode_282-1,Current tobacco use and nicotine dependence,"0.564 (0.553, 0.571)","0.608 (0.599, 0.617)","0.045 (0.037, 0.053)"
Genitourinary,phecode_583-1,"End stage renal disease [CDK, stage 5]","0.709 (0.682, 0.738)","0.753 (0.728, 0.784)","0.046 (0.013, 0.069)"
Derm,phecode_665,Psoriasis,"0.493 (0.478, 0.504)","0.537 (0.526, 0.548)","0.046 (0.03, 0.06)"
Blood,phecode_179,Immunodeficiencies,"0.465 (0.435, 0.503)","0.512 (0.472, 0.547)","0.046 (0.006, 0.081)"
Derm,phecode_662,Rosacea,"0.518 (0.506, 0.528)","0.563 (0.551, 0.574)","0.046 (0.036, 0.055)"
Eye,phecode_371,Cataract,"0.731 (0.727, 0.735)","0.778 (0.773, 0.781)","0.046 (0.044, 0.049)"
Resp,phecode_469-2,Chronic bronchitis,"0.612 (0.592, 0.635)","0.659 (0.641, 0.683)","0.046 (0.029, 0.066)"
Metab,phecode_237,Abnormal weight gain,"0.502 (0.48, 0.526)","0.549 (0.524, 0.572)","0.046 (0.021, 0.07)"
Eye,phecode_360-5,Noninfectious dermatoses of eyelid,"0.598 (0.571, 0.629)","0.645 (0.614, 0.68)","0.047 (0.025, 0.067)"
Metab,phecode_256-1,Hyperosmolality and/or hypernatremia,"0.421 (0.397, 0.445)","0.466 (0.443, 0.496)","0.047 (0.017, 0.067)"
Cardio,phecode_443-1,Stricture of artery [Arterial stenosis],"0.715 (0.689, 0.754)","0.762 (0.739, 0.801)","0.047 (0.024, 0.071)"
Neoplasms,phecode_114,Neuroendocrine tumors,"0.581 (0.535, 0.618)","0.626 (0.593, 0.664)","0.048 (0.004, 0.088)"
Eye,phecode_369-1,Corneal scars and opacities,"0.631 (0.593, 0.681)","0.681 (0.64, 0.725)","0.048 (0.006, 0.085)"
Musc/Skel,phecode_724-51,Calcaneal spur,"0.445 (0.413, 0.481)","0.489 (0.458, 0.527)","0.049 (0.002, 0.09)"
Mental,phecode_299,"Mental disorder, not otherwise specified","0.52 (0.492, 0.545)","0.565 (0.541, 0.599)","0.049 (0.018, 0.074)"
Resp,phecode_488-6,Wheezing,"0.501 (0.493, 0.51)","0.55 (0.539, 0.56)","0.049 (0.038, 0.059)"
Eye,phecode_373,Noninflammatory disorders of choroid,"0.577 (0.557, 0.607)","0.631 (0.584, 0.663)","0.049 (0, 0.098)"
Metab,phecode_247,Disorders of mineral metabolism and mineral deficiencies,"0.562 (0.555, 0.571)","0.612 (0.604, 0.618)","0.049 (0.042, 0.055)"
Eye,phecode_374,Disorders of the retina,"0.631 (0.624, 0.637)","0.68 (0.674, 0.687)","0.049 (0.043, 0.055)"
Neoplasms,phecode_139-52,Lipoma of intrathoracic organs,"0.424 (0.378, 0.456)","0.472 (0.432, 0.515)","0.051 (0, 0.108)"
Derm,phecode_668-6,Prurigo,"0.503 (0.467, 0.535)","0.554 (0.518, 0.59)","0.051 (0.011, 0.084)"
Neuro,phecode_325-1,Abnormal involuntary movements,"0.436 (0.406, 0.479)","0.492 (0.453, 0.531)","0.051 (0.005, 0.101)"
Hearing,phecode_396-1,Conductive hearing loss,"0.524 (0.49, 0.563)","0.577 (0.543, 0.608)","0.051 (0.017, 0.082)"
Derm,phecode_668-5,Lichen simplex chronicus,"0.531 (0.504, 0.561)","0.58 (0.558, 0.613)","0.051 (0.02, 0.074)"
Metab,phecode_239-3,Mixed hyperlipidemia,"0.452 (0.414, 0.488)","0.501 (0.477, 0.527)","0.051 (0.011, 0.086)"
Eye,phecode_380,Disorders of optic nerve and visual pathways,"0.568 (0.532, 0.594)","0.618 (0.593, 0.648)","0.052 (0.025, 0.07)"
Metab,phecode_256-3,Mixed disorder of acid-base balance,"0.655 (0.633, 0.674)","0.707 (0.689, 0.726)","0.053 (0.036, 0.069)"
GI,phecode_537-1,Peritonitis,"0.499 (0.471, 0.531)","0.55 (0.52, 0.578)","0.053 (0.018, 0.08)"
Neuro,phecode_351-1,Anesthesia of skin*,"0.436 (0.426, 0.452)","0.488 (0.476, 0.505)","0.053 (0.039, 0.067)"
Mental,phecode_281,"Substance abuse, dependence, and withdrawl","0.54 (0.533, 0.547)","0.593 (0.585, 0.6)","0.053 (0.046, 0.06)"
Cardio,phecode_449,Other disorders of the circulatory system,"0.636 (0.607, 0.666)","0.687 (0.655, 0.724)","0.054 (0.027, 0.08)"
GI,phecode_542-2,Fatty liver disease (FLD),"0.514 (0.502, 0.526)","0.569 (0.558, 0.577)","0.055 (0.044, 0.065)"
Eye,phecode_374-5,Macular degeneration,"0.716 (0.708, 0.724)","0.773 (0.763, 0.78)","0.056 (0.05, 0.062)"
Eye,phecode_371-3,Nuclear cataract,"0.742 (0.735, 0.749)","0.798 (0.791, 0.805)","0.057 (0.05, 0.064)"
Musc/Skel,phecode_712-1,Loose body in joint,"0.489 (0.454, 0.529)","0.546 (0.513, 0.583)","0.057 (0.019, 0.096)"
Signs/Symptoms,phecode_831,Glycosuria,"0.527 (0.515, 0.541)","0.586 (0.572, 0.599)","0.057 (0.046, 0.067)"
Eye,phecode_371-31,Age-related nuclear cataract,"0.74 (0.733, 0.749)","0.798 (0.791, 0.805)","0.058 (0.049, 0.063)"
Eye,phecode_374-511,Nonexuadative (dry) age-related macular degeneration,"0.762 (0.74, 0.782)","0.819 (0.8, 0.846)","0.059 (0.038, 0.081)"
Metab,phecode_256-31,Acidosis,"0.65 (0.629, 0.669)","0.708 (0.692, 0.729)","0.059 (0.045, 0.081)"
Metab,phecode_236-11,Morbid obesity,"0.578 (0.55, 0.61)","0.64 (0.612, 0.66)","0.06 (0.036, 0.086)"
Blood,phecode_164-6,Anemia secondary to chronic diseases and conditions,"0.634 (0.599, 0.669)","0.694 (0.657, 0.72)","0.06 (0.022, 0.088)"
Blood,phecode_168-2,Hyper-coagulability,"0.439 (0.385, 0.481)","0.497 (0.461, 0.532)","0.061 (0.018, 0.108)"
Musc/Skel,phecode_705-5,"Rheumatism, unspecified","0.287 (0.254, 0.319)","0.347 (0.312, 0.376)","0.061 (0.039, 0.085)"
Eye,phecode_369,Noninflammatory disorders of the cornea,"0.629 (0.615, 0.646)","0.692 (0.677, 0.712)","0.062 (0.047, 0.077)"
Eye,phecode_367-6,Episcleritis,"0.509 (0.482, 0.545)","0.57 (0.53, 0.602)","0.062 (0.022, 0.099)"
Eye,phecode_380-2,Disorders of optic disc,"0.542 (0.514, 0.574)","0.603 (0.568, 0.638)","0.062 (0.025, 0.097)"
Mental,phecode_287,Psychotic disorder,"0.517 (0.477, 0.544)","0.573 (0.548, 0.619)","0.062 (0.028, 0.098)"
Neuro,phecode_343,Disorders of autonomic nervous system,"0.511 (0.481, 0.536)","0.571 (0.539, 0.609)","0.063 (0.026, 0.098)"
GI,phecode_542,Chronic liver disease and sequelae,"0.515 (0.504, 0.523)","0.579 (0.571, 0.591)","0.063 (0.051, 0.077)"
Blood,phecode_175,Polycythemias,"0.605 (0.569, 0.645)","0.668 (0.635, 0.704)","0.063 (0.018, 0.102)"
Mental,phecode_281-2,Substance dependence,"0.532 (0.525, 0.542)","0.597 (0.589, 0.602)","0.064 (0.056, 0.071)"
Mental,phecode_280-13,Alcoholic liver disease,"0.642 (0.617, 0.669)","0.707 (0.682, 0.739)","0.065 (0.043, 0.087)"
Metab,phecode_232-2,Vitamin B group deficiency,"0.554 (0.544, 0.567)","0.619 (0.607, 0.63)","0.065 (0.051, 0.076)"
Blood,phecode_160,Nutritional anemias,"0.561 (0.554, 0.571)","0.628 (0.619, 0.635)","0.065 (0.057, 0.075)"
GI,phecode_526-11,Intestinal e.coli,"0.405 (0.369, 0.437)","0.468 (0.436, 0.502)","0.066 (0.036, 0.092)"
GI,phecode_542-4,Portal hypertension,"0.638 (0.605, 0.675)","0.705 (0.668, 0.726)","0.066 (0.033, 0.092)"
Musc/Skel,phecode_702-3,Enteropathic arthropathies,"0.497 (0.461, 0.533)","0.563 (0.529, 0.599)","0.068 (0.027, 0.105)"
Musc/Skel,phecode_709-1,Acquired deformities of fingers,"0.436 (0.403, 0.457)","0.499 (0.472, 0.539)","0.069 (0.036, 0.101)"
Endo,phecode_202,Diabetes mellitus,"0.586 (0.58, 0.594)","0.656 (0.649, 0.663)","0.069 (0.063, 0.078)"
Metab,phecode_247-7,Disorders of iron metabolism,"0.541 (0.533, 0.549)","0.611 (0.603, 0.618)","0.069 (0.062, 0.081)"
Eye,phecode_374-42,Diabetic retinopathy,"0.626 (0.617, 0.636)","0.696 (0.685, 0.703)","0.069 (0.061, 0.078)"
ID,phecode_059,Coronavirus,"0.528 (0.495, 0.562)","0.599 (0.555, 0.633)","0.07 (0.023, 0.119)"
Endo,phecode_202-2,Type 2 diabetes,"0.586 (0.579, 0.592)","0.655 (0.649, 0.662)","0.07 (0.064, 0.079)"
Signs/Symptoms,phecode_829-2,Abnormal level of blood mineral*,"0.465 (0.447, 0.482)","0.537 (0.522, 0.552)","0.071 (0.052, 0.09)"
Resp,phecode_498,Asphyxia and hypoxemia,"0.607 (0.572, 0.645)","0.678 (0.647, 0.712)","0.072 (0.034, 0.109)"
Endo,phecode_211,Disorders of adrenal glands,"0.541 (0.503, 0.58)","0.612 (0.584, 0.649)","0.072 (0.039, 0.109)"
Signs/Symptoms,phecode_826-3,Raised antibody titer*,"0.451 (0.422, 0.475)","0.527 (0.493, 0.568)","0.073 (0.04, 0.11)"
Eye,phecode_374-4,Retinal disorders in diseases classified elsewhere,"0.628 (0.618, 0.637)","0.703 (0.694, 0.711)","0.074 (0.066, 0.083)"
Blood,phecode_164-1,Microcytic anemia,"0.551 (0.54, 0.559)","0.626 (0.617, 0.634)","0.075 (0.067, 0.084)"
Metab,phecode_232,Vitamin deficiencies,"0.541 (0.535, 0.547)","0.616 (0.611, 0.622)","0.075 (0.067, 0.082)"
Musc/Skel,phecode_730,Other disorders and symptoms of the musculoskeletal system,"0.38 (0.363, 0.396)","0.455 (0.438, 0.472)","0.075 (0.053, 0.096)"
Blood,phecode_160-1,Iron deficiency anemia,"0.551 (0.542, 0.561)","0.626 (0.62, 0.635)","0.075 (0.065, 0.084)"
GI,phecode_542-1,Fibrosis and cirrhosis of liver,"0.628 (0.599, 0.657)","0.699 (0.678, 0.732)","0.075 (0.049, 0.101)"
ID,phecode_098,Carrier or suspected carrier of infectious diseases,"0.557 (0.528, 0.584)","0.631 (0.609, 0.657)","0.075 (0.047, 0.103)"
Metab,phecode_247-72,Iron deficiency,"0.54 (0.531, 0.547)","0.617 (0.608, 0.622)","0.076 (0.068, 0.086)"
Metab,phecode_232-4,Vitamin D deficiency,"0.549 (0.542, 0.556)","0.626 (0.619, 0.632)","0.076 (0.071, 0.085)"
Eye,phecode_384,Anomalies of pupillary function,"0.539 (0.493, 0.597)","0.618 (0.574, 0.66)","0.079 (0.028, 0.118)"
Eye,phecode_374-51,Age-related macular degeneration,"0.746 (0.734, 0.756)","0.825 (0.814, 0.836)","0.079 (0.067, 0.091)"
Rx,phecode_977-72,Long term (current) use of oral hypoglycemic drugs,"0.61 (0.6, 0.618)","0.69 (0.682, 0.696)","0.08 (0.072, 0.087)"
Metab,phecode_236,Overweight and obesity,"0.475 (0.47, 0.481)","0.555 (0.549, 0.561)","0.08 (0.074, 0.085)"
Metab,phecode_236-1,Obesity,"0.474 (0.469, 0.48)","0.555 (0.549, 0.56)","0.081 (0.073, 0.086)"
Rx,phecode_973,Adverse effect of other drug,"0.618 (0.579, 0.644)","0.696 (0.67, 0.728)","0.081 (0.055, 0.105)"
GI,phecode_529-6,Halitosis*,"0.444 (0.399, 0.473)","0.522 (0.475, 0.562)","0.081 (0.034, 0.127)"
Eye,phecode_374-1,Retinal detachments and breaks,"0.582 (0.564, 0.598)","0.664 (0.65, 0.679)","0.083 (0.063, 0.102)"
Mental,phecode_280-12,Alcohol dependence,"0.518 (0.501, 0.535)","0.601 (0.583, 0.62)","0.084 (0.065, 0.099)"
Rx,phecode_977-7,Long term (current) use of insulin or oral hypoglycemic drugs,"0.606 (0.596, 0.615)","0.689 (0.682, 0.696)","0.084 (0.075, 0.094)"
GI,phecode_540-1,Chronic hepatitis,"0.502 (0.467, 0.535)","0.586 (0.554, 0.621)","0.084 (0.056, 0.121)"
Endo,phecode_202-4,Other specified diabetes*,"0.607 (0.601, 0.612)","0.692 (0.685, 0.696)","0.085 (0.08, 0.09)"
Endo,phecode_202-1,Type 1 diabetes,"0.603 (0.579, 0.628)","0.69 (0.669, 0.716)","0.086 (0.069, 0.11)"
Eye,phecode_387-1,Hypermetropia,"0.707 (0.675, 0.744)","0.792 (0.759, 0.819)","0.086 (0.05, 0.114)"
Neoplasms,phecode_135-1,Benign neoplasm of the oral cavity,"0.481 (0.448, 0.516)","0.568 (0.529, 0.608)","0.088 (0.044, 0.136)"
Derm,phecode_676-1,Hypertrophic scar [Keloid scar],"0.478 (0.431, 0.516)","0.565 (0.524, 0.603)","0.088 (0.032, 0.132)"
ID,phecode_059-1,COVID-19*,"0.522 (0.481, 0.554)","0.61 (0.568, 0.645)","0.089 (0.037, 0.14)"
Eye,phecode_385,Abnormal results of function studies of eye,"0.571 (0.544, 0.606)","0.665 (0.631, 0.692)","0.089 (0.058, 0.126)"
Signs/Symptoms,phecode_824,Other abnormalities of plasma proteins*,"0.428 (0.413, 0.444)","0.52 (0.497, 0.543)","0.09 (0.068, 0.112)"
Derm,phecode_674-1,Hypopigmentation,"0.535 (0.493, 0.569)","0.632 (0.594, 0.664)","0.09 (0.054, 0.133)"
GI,phecode_504-1,Gingivitis,"0.395 (0.363, 0.424)","0.485 (0.452, 0.52)","0.09 (0.042, 0.131)"
Derm,phecode_679-21,Pallor,"0.448 (0.405, 0.488)","0.535 (0.504, 0.585)","0.093 (0.046, 0.145)"
Eye,phecode_366-1,Pterygium of eye,"0.471 (0.425, 0.518)","0.561 (0.523, 0.606)","0.096 (0.039, 0.149)"
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,"0.455 (0.445, 0.465)","0.552 (0.542, 0.559)","0.097 (0.087, 0.109)"
Eye,phecode_374-11,Serous retinal detachment,"0.586 (0.559, 0.612)","0.683 (0.665, 0.71)","0.098 (0.077, 0.134)"
Eye,phecode_367-52,Iridocyclitis,"0.512 (0.489, 0.535)","0.614 (0.581, 0.637)","0.099 (0.069, 0.125)"
Eye,phecode_370,Disorders of iris and ciliary body,"0.614 (0.581, 0.637)","0.716 (0.685, 0.748)","0.099 (0.074, 0.129)"
Eye,phecode_367-5,Uveitis,"0.514 (0.49, 0.539)","0.615 (0.59, 0.639)","0.099 (0.073, 0.125)"
Eye,phecode_374-512,Exuadative (wet) age-related macular degeneration,"0.747 (0.717, 0.781)","0.848 (0.824, 0.871)","0.1 (0.069, 0.13)"
Eye,phecode_387,Disorders of refraction and accommodation,"0.646 (0.633, 0.657)","0.747 (0.734, 0.757)","0.1 (0.089, 0.112)"
GI,phecode_501,Dental caries,"0.436 (0.422, 0.453)","0.537 (0.521, 0.553)","0.102 (0.083, 0.121)"
Neoplasms,phecode_139-3,Benign neoplasm of other connective and soft tissue,"0.422 (0.372, 0.475)","0.531 (0.478, 0.572)","0.102 (0.055, 0.159)"
Neuro,phecode_333-4,Circadian rhythm sleep disorder,"0.357 (0.312, 0.395)","0.459 (0.411, 0.515)","0.102 (0.055, 0.149)"
Derm,phecode_674-11,Vitiligo,"0.52 (0.476, 0.572)","0.622 (0.576, 0.659)","0.103 (0.032, 0.155)"
GI,phecode_546-3,Hepatomegaly,"0.515 (0.457, 0.561)","0.617 (0.569, 0.659)","0.103 (0.061, 0.145)"
Neoplasms,phecode_110,Malignant neoplasm of the endocrine glands,"0.436 (0.395, 0.475)","0.543 (0.499, 0.593)","0.105 (0.039, 0.17)"
