phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
GI,phecode_542,Chronic liver disease and sequelae,"0.565 (0.551, 0.58)","0.652 (0.642, 0.668)","0.089 (0.068, 0.106)",,,,+,NA,+|NA
Eye,phecode_388,Blindness and low vision,"0.617 (0.589, 0.652)","0.709 (0.676, 0.751)","0.092 (0.05, 0.128)",,,,+,NA,+|NA
Metab,phecode_236-1,Obesity,"0.523 (0.515, 0.529)","0.615 (0.608, 0.622)","0.093 (0.084, 0.103)",,,,+,NA,+|NA
Eye,phecode_387,Disorders of refraction and accommodation,"0.677 (0.666, 0.69)","0.776 (0.765, 0.786)","0.097 (0.084, 0.109)",,,,+,NA,+|NA
Eye,phecode_366,Noninflammatory disorders of conjunctiva,"0.549 (0.513, 0.589)","0.649 (0.607, 0.705)","0.098 (0.057, 0.136)",,,,+,NA,+|NA
Eye,phecode_360-2,Chalazion,"0.318 (0.287, 0.347)","0.417 (0.382, 0.459)","0.099 (0.074, 0.127)",,,,+,NA,+|NA
Mental,phecode_280-12,Alcohol dependence,"0.607 (0.584, 0.633)","0.709 (0.684, 0.729)","0.101 (0.071, 0.127)",,,,+,NA,+|NA
Eye,phecode_375-11,Open angle glaucoma,"0.711 (0.687, 0.732)","0.814 (0.795, 0.833)","0.103 (0.085, 0.121)",,,,+,NA,+|NA
GI,phecode_542-2,Fatty liver disease (FLD),"0.525 (0.506, 0.549)","0.63 (0.611, 0.648)","0.105 (0.077, 0.13)",,,,+,NA,+|NA
Mental,phecode_287,Psychotic disorder,"0.491 (0.446, 0.539)","0.602 (0.559, 0.638)","0.106 (0.059, 0.141)",,,,+,NA,+|NA
Derm,phecode_688,Granulomatous disorder of the skin,"0.431 (0.404, 0.464)","0.54 (0.505, 0.566)","0.107 (0.067, 0.138)",,,,+,NA,+|NA
GI,phecode_501,Dental caries,"0.427 (0.41, 0.447)","0.536 (0.518, 0.552)","0.108 (0.091, 0.128)",,,,+,NA,+|NA
Derm,phecode_688-1,Sarcoidosis,"0.447 (0.402, 0.474)","0.563 (0.521, 0.613)","0.119 (0.072, 0.169)",,,,+,NA,+|NA
Eye,phecode_386-1,Amblyopia,"0.646 (0.618, 0.684)","0.77 (0.731, 0.798)","0.126 (0.089, 0.155)",,,,+,NA,+|NA
Endo,phecode_205,Hypoglycemia,"0.669 (0.646, 0.696)","0.797 (0.771, 0.815)","0.128 (0.101, 0.155)",,,,+,NA,+|NA
Eye,phecode_374-1,Retinal detachments and breaks,"0.598 (0.574, 0.623)","0.727 (0.708, 0.75)","0.129 (0.1, 0.154)",,,,+,NA,+|NA
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,"0.53 (0.498, 0.569)","0.666 (0.635, 0.694)","0.133 (0.097, 0.172)",,,,+,NA,+|NA
Endo,phecode_202-1,Type 1 diabetes,"0.583 (0.563, 0.618)","0.728 (0.709, 0.752)","0.145 (0.12, 0.171)",,,,+,NA,+|NA
Eye,phecode_374-4,Retinal disorders in diseases classified elsewhere,"0.685 (0.655, 0.704)","0.836 (0.822, 0.853)","0.153 (0.135, 0.179)",,,,+,NA,+|NA
Musc/Skel,phecode_716-2,Degenerative disc disease,"0.325 (0.288, 0.373)","0.488 (0.443, 0.535)","0.156 (0.117, 0.201)",,,,+,NA,+|NA
Neuro,phecode_337-8,Polyneuropathy in diseases classified elsewhere,"0.629 (0.594, 0.67)","0.805 (0.779, 0.829)","0.175 (0.139, 0.204)",,,,+,NA,+|NA
Eye,phecode_387-2,Myopia,"0.609 (0.59, 0.633)","0.869 (0.858, 0.884)","0.259 (0.239, 0.281)",,,,+,NA,+|NA
Blood,phecode_165,Hemoglobinopathies,"0.602 (0.551, 0.656)","0.868 (0.84, 0.905)","0.265 (0.21, 0.324)",,,,+,NA,+|NA
