phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Genitourinary,phecode_593-2,Microscopic hematuria,"0.598 (0.582, 0.611)","0.592 (0.576, 0.606)","-0.007 (-0.015, 0.001)"
Genitourinary,phecode_610,Benign mammary dysplasias,"0.634 (0.608, 0.652)","0.628 (0.603, 0.645)","-0.007 (-0.015, 0.001)"
Cardio,phecode_400-2,Chronic rheumatic heart diseases,"0.723 (0.713, 0.737)","0.717 (0.701, 0.73)","-0.007 (-0.014, 0)"
GI,phecode_510-8,Barrett's esophagus,"0.641 (0.627, 0.657)","0.634 (0.617, 0.649)","-0.007 (-0.014, 0)"
Neuro,phecode_329-5,"Mild cognitive impairment, so stated","0.764 (0.751, 0.782)","0.756 (0.743, 0.775)","-0.007 (-0.014, -0.001)"
ID,phecode_088,Sexually transmitted disease,"0.645 (0.62, 0.674)","0.638 (0.612, 0.667)","-0.007 (-0.013, -0.001)"
Genitourinary,phecode_628,Ovarian cyst,"0.592 (0.577, 0.612)","0.585 (0.571, 0.605)","-0.007 (-0.012, -0.001)"
Derm,phecode_683,Nail disorders,"0.533 (0.527, 0.541)","0.528 (0.521, 0.536)","-0.007 (-0.011, -0.001)"
ID,phecode_099,Lab findings related to infections,"0.648 (0.638, 0.663)","0.64 (0.631, 0.656)","-0.007 (-0.01, -0.003)"
Genitourinary,phecode_592-12,Chronic cystitis,"0.603 (0.565, 0.633)","0.595 (0.559, 0.628)","-0.006 (-0.034, 0.019)"
Eye,phecode_367-2,Keratitis,"0.536 (0.503, 0.556)","0.53 (0.502, 0.552)","-0.006 (-0.029, 0.016)"
Blood,phecode_180,Other disorders involving the immune mechanism,"0.608 (0.589, 0.63)","0.603 (0.586, 0.622)","-0.006 (-0.021, 0.008)"
Signs/Symptoms,phecode_841-13,Allergy to sulfonamides,"0.718 (0.693, 0.743)","0.712 (0.684, 0.735)","-0.006 (-0.021, 0.007)"
Eye,phecode_362,Other disorders of the eyelids,"0.553 (0.538, 0.567)","0.545 (0.53, 0.564)","-0.006 (-0.019, 0.004)"
GI,phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),"0.633 (0.615, 0.648)","0.626 (0.61, 0.645)","-0.006 (-0.018, 0.007)"
Genitourinary,phecode_604-5,Balanoposthitis,"0.526 (0.503, 0.547)","0.519 (0.499, 0.542)","-0.006 (-0.018, 0.006)"
Neoplasms,phecode_116-4,Secondary malignant neoplasm of liver,"0.661 (0.646, 0.673)","0.654 (0.638, 0.668)","-0.006 (-0.017, 0.005)"
Genitourinary,phecode_594-11,Urinary hesitancy,"0.75 (0.724, 0.781)","0.745 (0.721, 0.771)","-0.006 (-0.016, 0.008)"
Musc/Skel,phecode_710-3,Acquired deformities of the knee,"0.651 (0.624, 0.676)","0.646 (0.616, 0.667)","-0.006 (-0.016, 0.006)"
Neuro,phecode_353,Symptoms and signs involving general sensations and perceptions,"0.577 (0.564, 0.595)","0.572 (0.559, 0.588)","-0.006 (-0.014, 0)"
Cardio,phecode_416-22,Atrial flutter,"0.739 (0.725, 0.753)","0.732 (0.718, 0.747)","-0.006 (-0.013, 0)"
Musc/Skel,phecode_717-2,Sacrococcygeal disorders,"0.621 (0.602, 0.639)","0.616 (0.594, 0.635)","-0.006 (-0.013, 0.004)"
Musc/Skel,phecode_714,Deforming dorsopathies,"0.677 (0.659, 0.696)","0.672 (0.656, 0.692)","-0.006 (-0.013, 0.003)"
Genitourinary,phecode_622,Polyp of female genital organs,"0.571 (0.558, 0.583)","0.565 (0.551, 0.578)","-0.006 (-0.013, 0.002)"
Musc/Skel,phecode_723-5,Tendinitis,"0.523 (0.512, 0.534)","0.517 (0.506, 0.53)","-0.006 (-0.013, 0.002)"
Genitourinary,phecode_628-2,Corpus luteum cyst or hematoma,"0.589 (0.573, 0.606)","0.583 (0.566, 0.599)","-0.006 (-0.013, -0.001)"
Mental,phecode_288-4,Phobic disorders,"0.602 (0.581, 0.613)","0.596 (0.574, 0.609)","-0.006 (-0.012, 0.002)"
Genitourinary,phecode_594-31,Urge incontinence,"0.648 (0.636, 0.66)","0.642 (0.628, 0.654)","-0.006 (-0.012, -0.001)"
Resp,phecode_487-1,Epistaxis,"0.592 (0.58, 0.605)","0.586 (0.575, 0.599)","-0.006 (-0.011, 0)"
Signs/Symptoms,phecode_808,Syncope and collapse,"0.6 (0.592, 0.606)","0.593 (0.587, 0.6)","-0.006 (-0.01, -0.002)"
Genitourinary,phecode_593-1,Gross hematuria,"0.69 (0.668, 0.711)","0.683 (0.663, 0.705)","-0.006 (-0.009, -0.002)"
GI,phecode_552-1,Cholangitis,"0.605 (0.571, 0.641)","0.599 (0.56, 0.641)","-0.005 (-0.036, 0.026)"
Genitourinary,phecode_624-1,Dystrophy of female genital tract,"0.576 (0.551, 0.602)","0.57 (0.544, 0.597)","-0.005 (-0.034, 0.019)"
Neoplasms,phecode_109-3,Malignant neoplasm of brain,"0.608 (0.57, 0.645)","0.604 (0.563, 0.643)","-0.005 (-0.032, 0.029)"
ID,phecode_011,Klebsiella,"0.667 (0.625, 0.701)","0.662 (0.616, 0.695)","-0.005 (-0.031, 0.027)"
Neoplasms,phecode_104,Malignant sarcoma-related cancers,"0.552 (0.524, 0.582)","0.546 (0.519, 0.575)","-0.005 (-0.029, 0.028)"
Musc/Skel,phecode_708-15,"Primary osteoarthritis of the wrist, forearm","0.652 (0.614, 0.677)","0.646 (0.611, 0.673)","-0.005 (-0.025, 0.019)"
Eye,phecode_379,Infection of the eye,"0.546 (0.527, 0.567)","0.543 (0.519, 0.563)","-0.005 (-0.025, 0.018)"
Genitourinary,phecode_614-53,Cyst or abscess of Bartholin's gland,"0.627 (0.598, 0.668)","0.621 (0.592, 0.656)","-0.005 (-0.022, 0.016)"
Musc/Skel,phecode_708-8,Secondary osteoarthritis,"0.595 (0.58, 0.622)","0.592 (0.574, 0.613)","-0.005 (-0.02, 0.01)"
Genitourinary,phecode_623,Hypertrophy of female genital organs,"0.505 (0.493, 0.52)","0.501 (0.484, 0.515)","-0.005 (-0.019, 0.007)"
Mental,phecode_284,Suicide ideation and attempt or self harm,"0.599 (0.585, 0.616)","0.594 (0.58, 0.613)","-0.005 (-0.018, 0.009)"
Genitourinary,phecode_597,Other disorders of urethra and urinary tract,"0.6 (0.581, 0.615)","0.595 (0.578, 0.61)","-0.005 (-0.017, 0.005)"
Genitourinary,phecode_596-3,Diverticulum of bladder,"0.738 (0.709, 0.771)","0.734 (0.704, 0.767)","-0.005 (-0.013, 0.005)"
Cardio,phecode_400,Rheumatic fever and chronic rheumatic heart diseases,"0.723 (0.712, 0.733)","0.717 (0.707, 0.728)","-0.005 (-0.013, 0.003)"
Cardio,phecode_413-11,Mitral valve insufficiency,"0.696 (0.684, 0.713)","0.691 (0.679, 0.705)","-0.005 (-0.013, 0.002)"
Genitourinary,phecode_625-2,Postcoital bleeding,"0.754 (0.732, 0.774)","0.748 (0.727, 0.767)","-0.005 (-0.013, 0.001)"
Derm,phecode_682-4,Acne,"0.635 (0.608, 0.658)","0.631 (0.604, 0.657)","-0.005 (-0.012, 0.003)"
Neuro,phecode_324,Extrapyramidal and movement disorders,"0.596 (0.586, 0.602)","0.59 (0.582, 0.599)","-0.005 (-0.011, 0)"
Resp,phecode_467,Laryngitis and tracheitis,"0.616 (0.606, 0.632)","0.611 (0.6, 0.629)","-0.005 (-0.011, 0)"
Cardio,phecode_413-1,Mitral valve disorders,"0.706 (0.694, 0.717)","0.702 (0.689, 0.714)","-0.005 (-0.011, 0.002)"
GI,phecode_509,Diseases of tongue,"0.58 (0.568, 0.594)","0.575 (0.563, 0.59)","-0.005 (-0.011, 0.001)"
ID,phecode_056-1,Plantar wart,"0.542 (0.527, 0.555)","0.538 (0.522, 0.551)","-0.005 (-0.01, 0)"
Neoplasms,phecode_136-2,Benign neoplasm of stomach,"0.633 (0.623, 0.642)","0.627 (0.617, 0.64)","-0.005 (-0.01, 0)"
Genitourinary,phecode_618-2,Uterine/Uterovaginal prolapse,"0.587 (0.572, 0.6)","0.582 (0.57, 0.595)","-0.005 (-0.01, 0.001)"
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,"0.687 (0.667, 0.702)","0.682 (0.664, 0.699)","-0.005 (-0.01, 0.001)"
Neuro,phecode_328-8,Dementia in conditions classified elsewhere,"0.801 (0.79, 0.813)","0.796 (0.783, 0.808)","-0.005 (-0.01, -0.002)"
Neuro,phecode_328,Dementias and cerebral degeneration,"0.788 (0.776, 0.802)","0.783 (0.772, 0.796)","-0.005 (-0.01, -0.001)"
Resp,phecode_467-1,Acute laryngitis and tracheitis,"0.623 (0.612, 0.635)","0.619 (0.607, 0.631)","-0.005 (-0.01, -0.001)"
Genitourinary,phecode_594-3,Urinary incontinence,"0.618 (0.609, 0.624)","0.613 (0.604, 0.62)","-0.005 (-0.009, -0.002)"
Hearing,phecode_395-1,Labyrinthitis,"0.576 (0.564, 0.587)","0.571 (0.561, 0.582)","-0.005 (-0.008, 0)"
Endo,phecode_215,Testicular dysfunction,"0.515 (0.465, 0.567)","0.509 (0.458, 0.563)","-0.004 (-0.05, 0.04)"
Eye,phecode_362-5,Cysts of eyelid,"0.56 (0.526, 0.592)","0.553 (0.526, 0.59)","-0.004 (-0.038, 0.018)"
Endo,phecode_208-2,Hyperparathyroidism,"0.654 (0.631, 0.676)","0.648 (0.621, 0.669)","-0.004 (-0.024, 0.013)"
Genitourinary,phecode_619-2,"Disorders of uterus, NEC","0.551 (0.531, 0.573)","0.546 (0.525, 0.572)","-0.004 (-0.019, 0.011)"
Neuro,phecode_328-7,Vascular dementia,"0.8 (0.774, 0.823)","0.795 (0.771, 0.819)","-0.004 (-0.018, 0.009)"
Endo,phecode_208,Disorders of parathyroid gland,"0.648 (0.627, 0.668)","0.645 (0.622, 0.665)","-0.004 (-0.017, 0.008)"
GI,phecode_520-14,Ventral hernia,"0.585 (0.562, 0.599)","0.58 (0.564, 0.594)","-0.004 (-0.016, 0.009)"
Genitourinary,phecode_610-1,Cystic mastopathy,"0.69 (0.664, 0.713)","0.685 (0.66, 0.71)","-0.004 (-0.013, 0.006)"
GI,phecode_506-5,Disturbances of salivary secretion,"0.629 (0.61, 0.645)","0.625 (0.607, 0.642)","-0.004 (-0.013, 0.006)"
Musc/Skel,phecode_708-9,Heberden's or Bouchard's nodes*,"0.634 (0.612, 0.655)","0.63 (0.606, 0.65)","-0.004 (-0.013, 0.003)"
Derm,phecode_683-1,Ingrowing nail,"0.534 (0.523, 0.548)","0.531 (0.517, 0.545)","-0.004 (-0.012, 0.009)"
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],"0.613 (0.597, 0.63)","0.609 (0.59, 0.626)","-0.004 (-0.012, 0.002)"
GI,phecode_523-4,Diverticulitis,"0.612 (0.598, 0.627)","0.608 (0.596, 0.623)","-0.004 (-0.011, 0.007)"
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,"0.734 (0.718, 0.756)","0.73 (0.711, 0.753)","-0.004 (-0.011, 0.005)"
Musc/Skel,phecode_721-6,Baker's cyst [popliteal cyst],"0.584 (0.57, 0.598)","0.579 (0.562, 0.593)","-0.004 (-0.011, 0.003)"
Resp,phecode_463-5,Postnasal drip,"0.579 (0.566, 0.591)","0.575 (0.561, 0.589)","-0.004 (-0.011, 0.003)"
Genitourinary,phecode_626-2,Dysmenorrhea,"0.894 (0.882, 0.908)","0.891 (0.879, 0.902)","-0.004 (-0.01, 0.004)"
Cardio,phecode_416-41,Atrioventricular block,"0.75 (0.74, 0.763)","0.747 (0.735, 0.76)","-0.004 (-0.01, 0.001)"
Resp,phecode_463-1,Chronic rhinitis,"0.549 (0.537, 0.561)","0.545 (0.534, 0.556)","-0.004 (-0.009, 0.003)"
Derm,phecode_682,Other follicular disorders,"0.512 (0.505, 0.519)","0.508 (0.502, 0.514)","-0.004 (-0.008, 0.001)"
Genitourinary,phecode_618-1,Prolapse of vaginal walls,"0.581 (0.57, 0.593)","0.577 (0.567, 0.588)","-0.004 (-0.008, 0.001)"
Cardio,phecode_416-4,Heart block,"0.722 (0.715, 0.73)","0.718 (0.71, 0.726)","-0.004 (-0.007, 0)"
Genitourinary,phecode_594-6,Urinary urgency,"0.594 (0.582, 0.604)","0.591 (0.579, 0.603)","-0.004 (-0.007, 0.001)"
Cardio,phecode_417-3,Bradycardia*,"0.658 (0.647, 0.67)","0.654 (0.644, 0.666)","-0.004 (-0.007, -0.001)"
Hearing,phecode_395,Other diseases of inner ear,"0.572 (0.562, 0.583)","0.569 (0.56, 0.579)","-0.004 (-0.007, -0.001)"
Eye,phecode_377-2,Conjunctival hemorrhage,"0.584 (0.573, 0.595)","0.581 (0.569, 0.592)","-0.004 (-0.006, -0.001)"
GI,phecode_504-3,Periodontitis,"0.54 (0.513, 0.57)","0.539 (0.501, 0.574)","-0.003 (-0.036, 0.027)"
Neuro,phecode_346,Brain damage and brain death,"0.568 (0.532, 0.602)","0.565 (0.526, 0.6)","-0.003 (-0.036, 0.025)"
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,"0.585 (0.558, 0.619)","0.582 (0.546, 0.609)","-0.003 (-0.034, 0.026)"
Mental,phecode_290-1,Posttraumatic stress disorder,"0.657 (0.621, 0.709)","0.65 (0.62, 0.704)","-0.003 (-0.034, 0.023)"
Neuro,phecode_342-4,Monoplegia,"0.561 (0.526, 0.596)","0.56 (0.53, 0.591)","-0.003 (-0.03, 0.025)"
Cardio,phecode_430-2,Nontraumatic intracerebral hemorrhage,"0.697 (0.678, 0.72)","0.695 (0.676, 0.719)","-0.003 (-0.029, 0.016)"
Musc/Skel,phecode_724-3,Nontraumatic hematoma of soft tissue,"0.569 (0.535, 0.597)","0.565 (0.528, 0.593)","-0.003 (-0.026, 0.015)"
Blood,phecode_177-4,Lymphedema,"0.656 (0.641, 0.673)","0.655 (0.639, 0.671)","-0.003 (-0.016, 0.013)"
Cardio,phecode_440-11,Deep vein thrombosis [DVT],"0.603 (0.588, 0.62)","0.599 (0.581, 0.619)","-0.003 (-0.016, 0.008)"
Eye,phecode_363-5,Epiphora,"0.592 (0.576, 0.607)","0.589 (0.574, 0.605)","-0.003 (-0.015, 0.01)"
Neuro,phecode_334,Disorders of other cranial nerves,"0.55 (0.536, 0.568)","0.547 (0.533, 0.563)","-0.003 (-0.014, 0.014)"
Musc/Skel,phecode_712,Other specific joint derangements,"0.539 (0.521, 0.552)","0.536 (0.519, 0.549)","-0.003 (-0.014, 0.007)"
Cardio,phecode_440-3,Pulmonary embolism,"0.63 (0.616, 0.642)","0.626 (0.614, 0.641)","-0.003 (-0.014, 0.005)"
Genitourinary,phecode_586-2,Cyst of kidney,"0.652 (0.636, 0.671)","0.65 (0.634, 0.668)","-0.003 (-0.013, 0.009)"
Cardio,phecode_448-1,Raynaud's syndrome,"0.585 (0.568, 0.603)","0.582 (0.565, 0.603)","-0.003 (-0.013, 0.005)"
Musc/Skel,phecode_723-3,Medial epicondylitis (Golfer's elbow),"0.562 (0.546, 0.578)","0.559 (0.545, 0.577)","-0.003 (-0.012, 0.008)"
Signs/Symptoms,phecode_841-12,Allergy to antibiotic agent (excluding penicillin),"0.661 (0.649, 0.672)","0.658 (0.647, 0.669)","-0.003 (-0.01, 0.003)"
Cardio,phecode_416-5,Premature depolarization [Premature beats],"0.626 (0.61, 0.638)","0.623 (0.606, 0.636)","-0.003 (-0.009, 0.006)"
Genitourinary,phecode_592-11,Acute cystitis,"0.712 (0.698, 0.731)","0.71 (0.695, 0.729)","-0.003 (-0.009, 0.006)"
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,"0.672 (0.663, 0.683)","0.669 (0.659, 0.68)","-0.003 (-0.009, 0.002)"
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,"0.685 (0.673, 0.699)","0.682 (0.672, 0.696)","-0.003 (-0.008, 0.002)"
Neoplasms,phecode_140,Benign neoplasm of the breast,"0.797 (0.779, 0.812)","0.795 (0.779, 0.809)","-0.003 (-0.008, 0.001)"
Cardio,phecode_413,Heart valve disorders,"0.712 (0.705, 0.72)","0.709 (0.702, 0.718)","-0.003 (-0.007, 0.002)"
Neuro,phecode_328-1,Alzheimer's disease,"0.812 (0.798, 0.826)","0.809 (0.796, 0.822)","-0.003 (-0.007, 0.002)"
Signs/Symptoms,phecode_832-6,Pyuria*,"0.657 (0.642, 0.672)","0.655 (0.638, 0.67)","-0.003 (-0.007, 0.002)"
Genitourinary,phecode_613-5,Mastodynia,"0.554 (0.543, 0.564)","0.55 (0.54, 0.563)","-0.003 (-0.007, 0.001)"
Genitourinary,phecode_596,Other disorders of bladder,"0.607 (0.599, 0.617)","0.604 (0.596, 0.613)","-0.003 (-0.007, 0.001)"
Genitourinary,phecode_591,Urinary tract infection,"0.62 (0.615, 0.625)","0.618 (0.612, 0.622)","-0.003 (-0.006, 0)"
Genitourinary,phecode_602,Other disorders of prostate,"0.636 (0.625, 0.646)","0.632 (0.623, 0.643)","-0.003 (-0.006, 0)"
Genitourinary,phecode_613,Other nonmalignant breast conditions,"0.544 (0.537, 0.554)","0.542 (0.533, 0.552)","-0.003 (-0.006, 0.001)"
Genitourinary,phecode_618,Genital prolapse,"0.577 (0.569, 0.587)","0.575 (0.566, 0.586)","-0.003 (-0.006, 0.001)"
Eye,phecode_360,Inflammation of eyelids,"0.564 (0.557, 0.571)","0.561 (0.554, 0.568)","-0.003 (-0.006, -0.001)"
Neoplasms,phecode_105,Malignant neoplasm of the breast,"0.753 (0.747, 0.76)","0.75 (0.743, 0.756)","-0.003 (-0.006, -0.001)"
Eye,phecode_360-4,Blepharitis,"0.595 (0.586, 0.606)","0.593 (0.584, 0.603)","-0.003 (-0.005, 0)"
Hearing,phecode_394-21,Paroxysmal vertigo,"0.618 (0.606, 0.629)","0.614 (0.603, 0.627)","-0.003 (-0.005, 0)"
Genitourinary,phecode_592,Cystitis and urethritis,"0.685 (0.674, 0.693)","0.682 (0.672, 0.69)","-0.003 (-0.005, -0.001)"
Genitourinary,phecode_592-1,Cystitis,"0.694 (0.686, 0.703)","0.691 (0.683, 0.701)","-0.003 (-0.005, -0.001)"
Resp,phecode_462-1,Acute sinusitis,"0.579 (0.57, 0.588)","0.576 (0.567, 0.586)","-0.003 (-0.004, -0.001)"
Mental,phecode_308-5,Nervousness,"0.561 (0.531, 0.591)","0.553 (0.526, 0.591)","-0.002 (-0.035, 0.022)"
Cardio,phecode_430-1,Nontraumatic subarachnoid hemorrhage,"0.61 (0.575, 0.644)","0.613 (0.57, 0.641)","-0.002 (-0.026, 0.034)"
Signs/Symptoms,phecode_817,Motion sickness,"0.651 (0.627, 0.687)","0.651 (0.619, 0.682)","-0.002 (-0.026, 0.02)"
Genitourinary,phecode_603-5,Orchitis and epididymitis,"0.518 (0.502, 0.539)","0.517 (0.498, 0.532)","-0.002 (-0.019, 0.014)"
Neuro,phecode_356,Speech disturbance,"0.635 (0.617, 0.655)","0.633 (0.619, 0.651)","-0.002 (-0.018, 0.012)"
Cardio,phecode_430,Nontraumatic Intracranial hemorrhage,"0.656 (0.638, 0.68)","0.652 (0.634, 0.674)","-0.002 (-0.017, 0.01)"
Neuro,phecode_324-41,Essential tremor*,"0.64 (0.619, 0.669)","0.639 (0.618, 0.66)","-0.002 (-0.015, 0.015)"
GI,phecode_552,Other diseases of biliary tract,"0.62 (0.596, 0.638)","0.616 (0.598, 0.642)","-0.002 (-0.015, 0.009)"
Cardio,phecode_416-52,Ventricular premature depolarization*,"0.636 (0.621, 0.655)","0.633 (0.617, 0.654)","-0.002 (-0.01, 0.005)"
Genitourinary,phecode_614-52,Vaginitis and vulvovaginitis,"0.561 (0.548, 0.574)","0.56 (0.549, 0.573)","-0.002 (-0.009, 0.008)"
Genitourinary,phecode_625-1,Dyspareunia,"0.65 (0.632, 0.664)","0.649 (0.633, 0.666)","-0.002 (-0.009, 0.008)"
Cardio,phecode_416-42,Left bundle branch block,"0.722 (0.706, 0.735)","0.719 (0.706, 0.734)","-0.002 (-0.009, 0.007)"
ID,phecode_052-1,Herpes simplex,"0.598 (0.585, 0.613)","0.597 (0.583, 0.611)","-0.002 (-0.008, 0.004)"
Musc/Skel,phecode_723-51,Achilles tendinitis,"0.539 (0.525, 0.549)","0.536 (0.523, 0.547)","-0.002 (-0.008, 0.004)"
Musc/Skel,phecode_721-11,Trigger finger,"0.58 (0.569, 0.593)","0.578 (0.568, 0.59)","-0.002 (-0.008, 0.004)"
Musc/Skel,phecode_728,Chondropathies,"0.608 (0.596, 0.623)","0.608 (0.592, 0.623)","-0.002 (-0.007, 0.005)"
Neoplasms,phecode_116,Secondary malignant neoplasm,"0.655 (0.646, 0.664)","0.653 (0.644, 0.663)","-0.002 (-0.007, 0.004)"
Genitourinary,phecode_619-3,Noninflammatory disorders of cervix,"0.686 (0.664, 0.703)","0.684 (0.663, 0.702)","-0.002 (-0.007, 0.003)"
Musc/Skel,phecode_721-2,Ganglion cyst,"0.547 (0.537, 0.557)","0.544 (0.534, 0.554)","-0.002 (-0.007, 0.003)"
Neoplasms,phecode_132,Sequelae of cancer,"0.734 (0.725, 0.745)","0.733 (0.722, 0.745)","-0.002 (-0.007, 0.003)"
Cardio,phecode_444-1,Varicose veins,"0.586 (0.578, 0.595)","0.584 (0.576, 0.593)","-0.002 (-0.007, 0.002)"
Genitourinary,phecode_602-4,Elevated prostate specific antigen [PSA],"0.63 (0.62, 0.64)","0.628 (0.618, 0.638)","-0.002 (-0.007, 0.001)"
Cardio,phecode_418-1,Abnormal electrocardiogram [ECG] [EKG],"0.664 (0.655, 0.672)","0.661 (0.654, 0.672)","-0.002 (-0.006, 0.002)"
Genitourinary,phecode_618-11,Cystocele,"0.59 (0.58, 0.602)","0.588 (0.576, 0.601)","-0.002 (-0.006, 0.002)"
Genitourinary,phecode_625,Pain and other symptoms associated with female genital organs,"0.611 (0.6, 0.622)","0.609 (0.597, 0.621)","-0.002 (-0.006, 0.002)"
Genitourinary,phecode_596-1,Bladder neck obstruction,"0.801 (0.788, 0.818)","0.799 (0.787, 0.816)","-0.002 (-0.006, 0.002)"
Cardio,phecode_417,Abnormalities of heart beat,"0.588 (0.584, 0.593)","0.586 (0.581, 0.59)","-0.002 (-0.005, 0)"
Hearing,phecode_394,Disorders of vestibular function,"0.603 (0.593, 0.613)","0.602 (0.592, 0.612)","-0.002 (-0.005, 0)"
ID,phecode_052,Herpesvirus,"0.561 (0.555, 0.566)","0.558 (0.553, 0.565)","-0.002 (-0.005, 0)"
Cardio,phecode_444,Venous insufficiency,"0.591 (0.585, 0.6)","0.589 (0.582, 0.597)","-0.002 (-0.005, 0.001)"
Cardio,phecode_444-11,Varicose veins of lower extremities,"0.596 (0.588, 0.606)","0.594 (0.585, 0.603)","-0.002 (-0.005, 0.001)"
Endo,phecode_200-1,Hypothyroidism,"0.635 (0.629, 0.643)","0.633 (0.626, 0.639)","-0.002 (-0.005, 0.001)"
Resp,phecode_462,Sinusitis,"0.558 (0.551, 0.565)","0.556 (0.549, 0.562)","-0.002 (-0.005, 0.001)"
Endo,phecode_200,Disorders of thyroid gland,"0.632 (0.626, 0.638)","0.629 (0.624, 0.636)","-0.002 (-0.004, 0)"
Genitourinary,phecode_593,Hematuria,"0.588 (0.583, 0.592)","0.586 (0.582, 0.59)","-0.002 (-0.004, 0)"
ID,phecode_052-32,Herpes zoster,"0.578 (0.57, 0.585)","0.576 (0.568, 0.583)","-0.002 (-0.004, 0)"
Genitourinary,phecode_594,Abnormality of urination,"0.584 (0.579, 0.589)","0.583 (0.577, 0.588)","-0.002 (-0.004, 0.001)"
Genitourinary,phecode_594-1,Retention of urine,"0.735 (0.726, 0.744)","0.733 (0.724, 0.741)","-0.002 (-0.004, 0.001)"
Hearing,phecode_394-2,Vertigo,"0.607 (0.597, 0.618)","0.606 (0.594, 0.616)","-0.002 (-0.004, 0.001)"
Genitourinary,phecode_599,Other symptoms/disorders or the urinary system,"0.577 (0.571, 0.582)","0.574 (0.568, 0.58)","-0.002 (-0.004, -0.001)"
Musc/Skel,phecode_709-21,Hallux valgus (Bunion),"0.667 (0.66, 0.675)","0.665 (0.658, 0.674)","-0.002 (-0.003, 0)"
Mental,phecode_280-82,Other psychoactive substance dependence,"0.59 (0.548, 0.629)","0.589 (0.545, 0.63)","-0.001 (-0.043, 0.049)"
Eye,phecode_379-21,"Infection of the eye, herpes","0.584 (0.54, 0.61)","0.581 (0.548, 0.611)","-0.001 (-0.022, 0.023)"
Cardio,phecode_416-212,Persistent atrial fibrillation*,"0.717 (0.689, 0.742)","0.713 (0.689, 0.741)","-0.001 (-0.018, 0.014)"
Neuro,phecode_334-11,Trigeminal neuralgia,"0.596 (0.574, 0.619)","0.592 (0.571, 0.617)","-0.001 (-0.014, 0.011)"
Derm,phecode_660-13,Pityriasis versicolor,"0.666 (0.635, 0.696)","0.666 (0.632, 0.692)","-0.001 (-0.013, 0.013)"
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system","0.602 (0.582, 0.626)","0.603 (0.583, 0.625)","-0.001 (-0.012, 0.016)"
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,"0.617 (0.601, 0.63)","0.616 (0.599, 0.63)","-0.001 (-0.012, 0.008)"
Genitourinary,phecode_620,Dysplasia of female genital organs,"0.72 (0.691, 0.746)","0.72 (0.692, 0.746)","-0.001 (-0.009, 0.009)"
Musc/Skel,phecode_728-3,Costochondritis (Tietze's disease),"0.611 (0.595, 0.626)","0.61 (0.595, 0.627)","-0.001 (-0.009, 0.006)"
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,"0.71 (0.693, 0.724)","0.709 (0.692, 0.724)","-0.001 (-0.008, 0.007)"
Genitourinary,phecode_594-32,Stress incontinence,"0.716 (0.705, 0.724)","0.714 (0.706, 0.723)","-0.001 (-0.008, 0.006)"
GI,phecode_506,Diseases of salivary glands,"0.59 (0.577, 0.605)","0.59 (0.574, 0.606)","-0.001 (-0.008, 0.006)"
Resp,phecode_476,Bronchiectasis,"0.677 (0.667, 0.692)","0.676 (0.664, 0.692)","-0.001 (-0.008, 0.005)"
Cardio,phecode_413-2,Aortic valve disorders,"0.727 (0.716, 0.734)","0.726 (0.714, 0.734)","-0.001 (-0.008, 0.003)"
GI,phecode_510-2,Esophagitis,"0.57 (0.563, 0.581)","0.569 (0.561, 0.58)","-0.001 (-0.007, 0.005)"
Signs/Symptoms,phecode_848,Nonspecific abnormal findings of other body structures,"0.617 (0.609, 0.624)","0.617 (0.609, 0.624)","-0.001 (-0.006, 0.004)"
Musc/Skel,phecode_705-3,Polymyalgia rheumatica,"0.709 (0.692, 0.719)","0.708 (0.692, 0.717)","-0.001 (-0.006, 0.003)"
Cardio,phecode_401-6,Secondary hypertension,"0.626 (0.609, 0.647)","0.625 (0.607, 0.646)","-0.001 (-0.005, 0.004)"
GI,phecode_510,Diseases of esophagus,"0.575 (0.568, 0.581)","0.575 (0.568, 0.582)","-0.001 (-0.005, 0.004)"
Hearing,phecode_396-2,Sensorineural hearing loss,"0.637 (0.626, 0.649)","0.635 (0.625, 0.646)","-0.001 (-0.005, 0.002)"
ID,phecode_052-3,Varicella zoster virus,"0.57 (0.563, 0.578)","0.569 (0.562, 0.575)","-0.001 (-0.004, 0)"
Neoplasms,phecode_144-2,Benign neoplasms of the uterus,"0.662 (0.65, 0.672)","0.661 (0.649, 0.671)","-0.001 (-0.004, 0.003)"
Endo,phecode_200-14,"Hypothyroidism, not specified as secondary","0.638 (0.631, 0.646)","0.637 (0.629, 0.645)","-0.001 (-0.004, 0.002)"
Genitourinary,phecode_626-11,Absent or infrequent menstruation,"0.847 (0.836, 0.857)","0.846 (0.835, 0.859)","-0.001 (-0.004, 0.002)"
